price_total,area,price_per_m2,category,latitude,longitude,district,province,legal_status,frontage,road_width,num_bedrooms,num_toilets,num_floors,num_schools_1km,num_hospitals_2km,num_markets_1km
4500000000,231.0,19480519.48,Bán đất,16.0744342803955,108.101516723633,Huyện Hòa Vang,Đà Nẵng,Sổ đỏ/ Sổ hồng,8.4,0.0,0,0,0,2,0,0
18000000000,300.0,60000000.0,Bán đất,15.9969282150269,108.265983581543,Quận Ngũ Hành Sơn,Đà Nẵng,Sổ đỏ/ Sổ hồng,15.0,7.5,0,0,0,1,2,7
2700000000,58.0,46551724.14,Căn hộ chung cư,16.0891933441162,108.240615844727,Quận Sơn Trà,Đà Nẵng,Sổ đỏ/ Sổ hồng,0.0,0.0,2,2,0,12,1,21
7500000000,79.0,94936708.86,Bán đất,16.0944309234619,108.22966003418,Quận Sơn Trà,Đà Nẵng,Sổ đỏ/ Sổ hồng,5.0,7.5,0,0,0,4,1,4
13000000000,81.0,160493827.16,Bán đất,16.0661907196045,108.231086730957,Quận Sơn Trà,Đà Nẵng,Khác/ Chưa xác định,4.5,7.5,0,0,0,10,14,47
4500000000,90.0,50000000.0,Bán đất,15.9824295043945,108.271560668945,Quận Ngũ Hành Sơn,Đà Nẵng,Sổ đỏ/ Sổ hồng,5.0,5.5,0,0,0,0,3,0
7500000000,150.0,50000000.0,Đất nền dự án,15.9910974502563,108.260215759277,Quận Ngũ Hành Sơn,Đà Nẵng,Sổ đỏ/ Sổ hồng,7.5,7.5,0,0,0,1,4,3
5500000000,100.0,55000000.0,Đất nền dự án,15.9914808273315,108.259841918945,Quận Ngũ Hành Sơn,Đà Nẵng,Sổ đỏ/ Sổ hồng,5.0,7.5,0,0,0,1,4,3
13600000000,118.0,115254237.29,Bán đất,16.0783348083496,108.159843444824,Quận Liên Chiểu,Đà Nẵng,Sổ đỏ/ Sổ hồng,6.0,10.5,0,0,0,13,4,0
4200000000,109.0,38532110.09,Căn hộ chung cư,16.0905685424805,108.216316223145,Quận Hải Châu,Đà Nẵng,Hợp đồng mua bán,0.0,0.0,2,2,0,2,6,10
